Parque distribuido por tipo de vehículo, carburante y provincia.
Comunidad Autónoma/Provincia residencia: Andalucía/Almería, Andalucía/Cádiz, Andalucía/Córdoba, Andalucía/Granada, Andalucía/Huelva, Andalucía/Jaén, Andalucía/Málaga, Andalucía/Sevilla, Aragón/Huesca, Aragón/Teruel, Aragón/Zaragoza, Asturias (Principado de)/Asturias, Balears (Illes)/Balears (Illes), Canarias/Palmas (Las), Canarias/Santa Cruz de Tenerife, Cantabria/Cantabria, Castilla y León/Ávila, Castilla y León/Burgos, Castilla y León/León, Castilla y León/Palencia, Castilla y León/Salamanca, Castilla y León/Segovia, Castilla y León/Soria, Castilla y León/Valladolid, Castilla y León/Zamora, Castilla-La Mancha/Albacete, Castilla-La Mancha/Ciudad Real, Castilla-La Mancha/Cuenca, Castilla-La Mancha/Guadalajara, Castilla-La Mancha/Toledo, Cataluña/Barcelona, Cataluña/Girona, Cataluña/Lleida, Cataluña/Tarragona, Ceuta/Ceuta, Comunitat Valenciana/Alicante/Alacant, Comunitat Valenciana/Castellón/Castelló, Comunitat Valenciana/Valencia/València, Desconocida/Desconocido, Extranjero/Extranjero, Extremadura/Badajoz, Extremadura/Cáceres, Galicia/Coruña (A), Galicia/Lugo, Galicia/Ourense, Galicia/Pontevedra, Madrid (Comunidad de)/Madrid, Melilla/Melilla, Murcia (Región de)/Murcia, Navarra (Comunidad Foral de)/Navarra, País Vasco/Araba/Álava, País Vasco/Gipuzkoa, País Vasco/Bizkaia, Rioja (La)/Rioja (La)
Tipo de Vehículo: AUTOBUSES, CAMIONES HASTA 3500kg, CAMIONES MÁS DE 3500kg, CICLOMOTORES, CUATRICICLOS LIGEROS, FURGONETAS, MOTOCICLETAS, OTROS VEHÍCULOS, REMOLQUES, SEMIRREMOLQUES, TRACTORES INDUSTRIALES, TURISMOS
Carburante: Otros, Gasolina, Gas Natural Licuado, Diesel, Eléctrico, Gas Natural Comprimido, Biodiesel, Gasolina, Etanol, Hidrógeno, Gas Licuado de Petroleo, Diesel, Biometano, Diesel, Diesel

Comunidad Autónoma/Provincia residencia;Tipo de Vehículo;Carburante;Total
Andalucía/Almería;FURGONETAS;Gas Natural Comprimido;1
Andalucía/Almería;FURGONETAS;Gasolina;5675
Andalucía/Almería;FURGONETAS;Sin especificar;2
Andalucía/Almería;MOTOCICLETAS;TOTAL;50166
Andalucía/Almería;MOTOCICLETAS;Diesel;104
Andalucía/Almería;MOTOCICLETAS;Eléctrico;129
Andalucía/Almería;MOTOCICLETAS;Gasolina;49929
Andalucía/Almería;MOTOCICLETAS;Sin especificar;4
Andalucía/Almería;OTROS VEHÍCULOS;TOTAL;9380
Andalucía/Almería;OTROS VEHÍCULOS;Diesel;6271
Andalucía/Almería;OTROS VEHÍCULOS;Eléctrico;41
Andalucía/Almería;OTROS VEHÍCULOS;Gas Licuado de Petroleo;4
Andalucía/Almería;OTROS VEHÍCULOS;Gas Natural Comprimido;1
Andalucía/Almería;OTROS VEHÍCULOS;Gasolina;2897
Andalucía/Almería;OTROS VEHÍCULOS;Otros;4
Andalucía/Almería;OTROS VEHÍCULOS;Sin especificar;162
Andalucía/Almería;REMOLQUES;TOTAL;2823
Andalucía/Almería;REMOLQUES;Sin especificar;2823
Andalucía/Almería;SEMIRREMOLQUES;TOTAL;11136
Andalucía/Almería;SEMIRREMOLQUES;Sin especificar;11136
Andalucía/Almería;TRACTORES INDUSTRIALES;TOTAL;9421
Andalucía/Almería;TRACTORES INDUSTRIALES;Diesel;9421
Andalucía/Almería;TURISMOS;TOTAL;387897
Andalucía/Almería;TURISMOS;Butano;3
Andalucía/Almería;TURISMOS;Diesel;258863
Andalucía/Almería;TURISMOS;Eléctrico;417
Andalucía/Almería;TURISMOS;Etanol;1
Andalucía/Almería;TURISMOS;Gas Licuado de Petroleo;682
Andalucía/Almería;TURISMOS;Gas Natural Comprimido;8
Andalucía/Almería;TURISMOS;Gasolina;127904
Andalucía/Almería;TURISMOS;Otros;16
Andalucía/Almería;TURISMOS;Sin especificar;3
Andalucía/Cádiz;AUTOBUSES;TOTAL;1047
Andalucía/Cádiz;AUTOBUSES;Diesel;1036
Andalucía/Cádiz;AUTOBUSES;Gas Natural Comprimido;10
Andalucía/Cádiz;AUTOBUSES;Gasolina;1
Andalucía/Cádiz;CAMIONES HASTA 3500kg;TOTAL;46880
Andalucía/Cádiz;CAMIONES HASTA 3500kg;Diesel;45849
Andalucía/Cádiz;CAMIONES HASTA 3500kg;Eléctrico;30
Andalucía/Cádiz;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;29
Andalucía/Cádiz;CAMIONES HASTA 3500kg;Gas Natural Comprimido;9
Andalucía/Cádiz;CAMIONES HASTA 3500kg;Gasolina;961
Andalucía/Cádiz;CAMIONES HASTA 3500kg;Sin especificar;2
Andalucía/Cádiz;CAMIONES MÁS DE 3500kg;TOTAL;5751
Andalucía/Cádiz;CAMIONES MÁS DE 3500kg;Diesel;5694
Andalucía/Cádiz;CAMIONES MÁS DE 3500kg;Eléctrico;4
Andalucía/Cádiz;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;2
Andalucía/Cádiz;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;14
Andalucía/Cádiz;CAMIONES MÁS DE 3500kg;Gasolina;36
Andalucía/Cádiz;CAMIONES MÁS DE 3500kg;Otros;1
Andalucía/Cádiz;CICLOMOTORES;TOTAL;102293
Andalucía/Cádiz;CICLOMOTORES;Diesel;2480
Andalucía/Cádiz;CICLOMOTORES;Eléctrico;589
Andalucía/Cádiz;CICLOMOTORES;Gasolina;99220
Andalucía/Cádiz;CICLOMOTORES;Sin especificar;4
Andalucía/Cádiz;FURGONETAS;TOTAL;40368
Andalucía/Cádiz;FURGONETAS;Diesel;34140
Andalucía/Cádiz;FURGONETAS;Eléctrico;54
Andalucía/Cádiz;FURGONETAS;Gas Licuado de Petroleo;48
Andalucía/Cádiz;FURGONETAS;Gas Natural Comprimido;4
Andalucía/Cádiz;FURGONETAS;Gasolina;6122
Andalucía/Cádiz;MOTOCICLETAS;TOTAL;118198
Andalucía/Cádiz;MOTOCICLETAS;Diesel;127
Andalucía/Cádiz;MOTOCICLETAS;Eléctrico;1891
Andalucía/Cádiz;MOTOCICLETAS;Gas Licuado de Petroleo;9
Andalucía/Cádiz;MOTOCICLETAS;Gasolina;116159
Andalucía/Cádiz;MOTOCICLETAS;Otros;2
Andalucía/Cádiz;MOTOCICLETAS;Sin especificar;10
Andalucía/Cádiz;OTROS VEHÍCULOS;TOTAL;10726
Andalucía/Cádiz;OTROS VEHÍCULOS;Diesel;7501
Andalucía/Cádiz;OTROS VEHÍCULOS;Eléctrico;55
Andalucía/Cádiz;OTROS VEHÍCULOS;Gas Licuado de Petroleo;1
Andalucía/Cádiz;OTROS VEHÍCULOS;Gasolina;2957
Andalucía/Cádiz;OTROS VEHÍCULOS;Otros;2
Andalucía/Cádiz;OTROS VEHÍCULOS;Sin especificar;208
Andalucía/Cádiz;OTROS VEHÍCULOS;Solar;2
Andalucía/Cádiz;REMOLQUES;TOTAL;3938
Andalucía/Cádiz;REMOLQUES;Sin especificar;3938
Andalucía/Cádiz;SEMIRREMOLQUES;TOTAL;4277
Andalucía/Cádiz;SEMIRREMOLQUES;Sin especificar;4277
Andalucía/Cádiz;TRACTORES INDUSTRIALES;TOTAL;3288
Andalucía/Cádiz;TRACTORES INDUSTRIALES;Diesel;3288
Andalucía/Cádiz;TURISMOS;TOTAL;597408
Andalucía/Cádiz;TURISMOS;Biodiesel;2
Andalucía/Cádiz;TURISMOS;Biometano;1
Andalucía/Cádiz;TURISMOS;Butano;2
Andalucía/Cádiz;TURISMOS;Diesel;354510
Andalucía/Cádiz;TURISMOS;Eléctrico;602
Andalucía/Cádiz;TURISMOS;Etanol;1
Andalucía/Cádiz;TURISMOS;Gas Licuado de Petroleo;875
Andalucía/Cádiz;TURISMOS;Gas Natural Comprimido;66
Andalucía/Cádiz;TURISMOS;Gas Natural Licuado;1
Andalucía/Cádiz;TURISMOS;Gasolina;241333
Andalucía/Cádiz;TURISMOS;Hidrógeno;1
Andalucía/Cádiz;TURISMOS;Otros;8
Andalucía/Cádiz;TURISMOS;Sin especificar;6
Andalucía/Córdoba;AUTOBUSES;TOTAL;712
Andalucía/Córdoba;AUTOBUSES;Diesel;662
Andalucía/Córdoba;AUTOBUSES;Eléctrico;1
Andalucía/Córdoba;AUTOBUSES;Gas Natural Comprimido;47
Andalucía/Córdoba;AUTOBUSES;Gasolina;2
Andalucía/Córdoba;CAMIONES HASTA 3500kg;TOTAL;34068
Andalucía/Córdoba;CAMIONES HASTA 3500kg;Diesel;33497
Andalucía/Córdoba;CAMIONES HASTA 3500kg;Eléctrico;48
Andalucía/Córdoba;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;22
Andalucía/Córdoba;CAMIONES HASTA 3500kg;Gas Natural Comprimido;1
Andalucía/Córdoba;CAMIONES HASTA 3500kg;Gasolina;500
Andalucía/Córdoba;CAMIONES MÁS DE 3500kg;TOTAL;6482
Andalucía/Córdoba;CAMIONES MÁS DE 3500kg;Diesel;6422
Andalucía/Córdoba;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;5
Andalucía/Córdoba;CAMIONES MÁS DE 3500kg;Gasolina;55
Andalucía/Córdoba;CICLOMOTORES;TOTAL;50970
Andalucía/Córdoba;CICLOMOTORES;Diesel;1628
Andalucía/Córdoba;CICLOMOTORES;Eléctrico;172
Andalucía/Córdoba;CICLOMOTORES;Gasolina;49167
Andalucía/Córdoba;CICLOMOTORES;Sin especificar;3
Andalucía/Córdoba;FURGONETAS;TOTAL;51496
Andalucía/Córdoba;FURGONETAS;Diesel;45380
Andalucía/Córdoba;FURGONETAS;Eléctrico;45
Andalucía/Córdoba;FURGONETAS;Gas Licuado de Petroleo;65
Andalucía/Córdoba;FURGONETAS;Gas Natural Comprimido;1
Andalucía/Córdoba;FURGONETAS;Gasolina;6005
Andalucía/Córdoba;MOTOCICLETAS;TOTAL;59973
Andalucía/Córdoba;MOTOCICLETAS;Diesel;90
Andalucía/Córdoba;MOTOCICLETAS;Eléctrico;151
Andalucía/Córdoba;MOTOCICLETAS;Gas Licuado de Petroleo;2
Andalucía/Córdoba;MOTOCICLETAS;Gasolina;59726
Andalucía/Córdoba;MOTOCICLETAS;Sin especificar;4
Andalucía/Córdoba;OTROS VEHÍCULOS;TOTAL;8064
Andalucía/Córdoba;OTROS VEHÍCULOS;Diesel;5116
Andalucía/Córdoba;OTROS VEHÍCULOS;Eléctrico;94
Andalucía/Córdoba;OTROS VEHÍCULOS;Gas Licuado de Petroleo;1
Andalucía/Córdoba;OTROS VEHÍCULOS;Gasolina;2644
Andalucía/Córdoba;OTROS VEHÍCULOS;Otros;6
Andalucía/Córdoba;OTROS VEHÍCULOS;Sin especificar;203
Andalucía/Córdoba;REMOLQUES;TOTAL;5402
Andalucía/Córdoba;REMOLQUES;Sin especificar;5402
Andalucía/Córdoba;SEMIRREMOLQUES;TOTAL;3815
Andalucía/Córdoba;SEMIRREMOLQUES;Sin especificar;3815
Andalucía/Córdoba;TRACTORES INDUSTRIALES;TOTAL;3481
Andalucía/Córdoba;TRACTORES INDUSTRIALES;Diesel;3481
Andalucía/Córdoba;TURISMOS;TOTAL;393357
Andalucía/Córdoba;TURISMOS;Biodiesel;1
Andalucía/Córdoba;TURISMOS;Butano;2
Andalucía/Córdoba;TURISMOS;Diesel;256516
Andalucía/Córdoba;TURISMOS;Eléctrico;420
Andalucía/Córdoba;TURISMOS;Gas Licuado de Petroleo;591
Andalucía/Córdoba;TURISMOS;Gas Natural Comprimido;28
Andalucía/Córdoba;TURISMOS;Gasolina;135782
Andalucía/Córdoba;TURISMOS;Otros;12
Andalucía/Córdoba;TURISMOS;Sin especificar;5
Andalucía/Granada;AUTOBUSES;TOTAL;1205
Andalucía/Granada;AUTOBUSES;Diesel;1202
Andalucía/Granada;AUTOBUSES;Gasolina;3
Andalucía/Granada;CAMIONES HASTA 3500kg;TOTAL;46695
Andalucía/Granada;CAMIONES HASTA 3500kg;Biometano;1
Andalucía/Granada;CAMIONES HASTA 3500kg;Diesel;45734
Andalucía/Granada;CAMIONES HASTA 3500kg;Eléctrico;9
Andalucía/Granada;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;43
Andalucía/Granada;CAMIONES HASTA 3500kg;Gas Natural Comprimido;1
Andalucía/Granada;CAMIONES HASTA 3500kg;Gasolina;907
Andalucía/Granada;CAMIONES MÁS DE 3500kg;TOTAL;6895
Andalucía/Granada;CAMIONES MÁS DE 3500kg;Diesel;6821
Andalucía/Granada;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;2
Andalucía/Granada;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;5
Andalucía/Granada;CAMIONES MÁS DE 3500kg;Gas Natural Licuado;1
Andalucía/Granada;CAMIONES MÁS DE 3500kg;Gasolina;66
Andalucía/Granada;CICLOMOTORES;TOTAL;68212
Andalucía/Granada;CICLOMOTORES;Diesel;1203
Andalucía/Granada;CICLOMOTORES;Eléctrico;221
Andalucía/Granada;CICLOMOTORES;Gasolina;66788
Andalucía/Granada;FURGONETAS;TOTAL;59551
Andalucía/Granada;FURGONETAS;Diesel;51032
Andalucía/Granada;FURGONETAS;Eléctrico;37
Andalucía/Granada;FURGONETAS;Gas Licuado de Petroleo;74
Andalucía/Granada;FURGONETAS;Gas Natural Comprimido;8
Andalucía/Granada;FURGONETAS;Gasolina;8396
Andalucía/Granada;FURGONETAS;Otros;4
Andalucía/Granada;MOTOCICLETAS;TOTAL;103913
Andalucía/Granada;MOTOCICLETAS;Diesel;110
Andalucía/Granada;MOTOCICLETAS;Eléctrico;295
Andalucía/Granada;MOTOCICLETAS;Gas Licuado de Petroleo;2
Andalucía/Granada;MOTOCICLETAS;Gasolina;103502
Andalucía/Granada;MOTOCICLETAS;Otros;3
Andalucía/Granada;MOTOCICLETAS;Sin especificar;1
Andalucía/Granada;OTROS VEHÍCULOS;TOTAL;9320
Andalucía/Granada;OTROS VEHÍCULOS;Butano;1
Andalucía/Granada;OTROS VEHÍCULOS;Diesel;6930
Andalucía/Granada;OTROS VEHÍCULOS;Eléctrico;44
Andalucía/Granada;OTROS VEHÍCULOS;Gas Licuado de Petroleo;1
Andalucía/Granada;OTROS VEHÍCULOS;Gasolina;2153
Andalucía/Granada;OTROS VEHÍCULOS;Otros;10
Andalucía/Granada;OTROS VEHÍCULOS;Sin especificar;181
Andalucía/Granada;REMOLQUES;TOTAL;3333
Andalucía/Granada;REMOLQUES;Sin especificar;3333
Andalucía/Granada;SEMIRREMOLQUES;TOTAL;5133
Andalucía/Granada;SEMIRREMOLQUES;Sin especificar;5133
Andalucía/Granada;TRACTORES INDUSTRIALES;TOTAL;4488
Andalucía/Granada;TRACTORES INDUSTRIALES;Diesel;4488
Andalucía/Granada;TURISMOS;TOTAL;484879
Andalucía/Granada;TURISMOS;Biodiesel;6
Andalucía/Granada;TURISMOS;Butano;6
Andalucía/Granada;TURISMOS;Diesel;296387
Andalucía/Granada;TURISMOS;Eléctrico;630
Andalucía/Granada;TURISMOS;Gas Licuado de Petroleo;787
Andalucía/Granada;TURISMOS;Gas Natural Comprimido;61
Andalucía/Granada;TURISMOS;Gasolina;186979
Andalucía/Granada;TURISMOS;Hidrógeno;2
Andalucía/Granada;TURISMOS;Otros;17
Andalucía/Granada;TURISMOS;Sin especificar;4
Andalucía/Huelva;AUTOBUSES;TOTAL;778
Andalucía/Huelva;AUTOBUSES;Diesel;775
Andalucía/Huelva;AUTOBUSES;Gasolina;3
Andalucía/Huelva;CAMIONES HASTA 3500kg;TOTAL;26936
Andalucía/Huelva;CAMIONES HASTA 3500kg;Diesel;26350
Andalucía/Huelva;CAMIONES HASTA 3500kg;Eléctrico;5
Andalucía/Huelva;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;7
Andalucía/Huelva;CAMIONES HASTA 3500kg;Gas Natural Comprimido;1
Andalucía/Huelva;CAMIONES HASTA 3500kg;Gasolina;572
Andalucía/Huelva;CAMIONES HASTA 3500kg;Otros;1
Andalucía/Huelva;CAMIONES MÁS DE 3500kg;TOTAL;3654
Andalucía/Huelva;CAMIONES MÁS DE 3500kg;Biometano;1
Andalucía/Huelva;CAMIONES MÁS DE 3500kg;Diesel;3632
Andalucía/Huelva;CAMIONES MÁS DE 3500kg;Gasolina;21
Andalucía/Huelva;CICLOMOTORES;TOTAL;30073
Andalucía/Huelva;CICLOMOTORES;Diesel;771
Andalucía/Huelva;CICLOMOTORES;Eléctrico;205
Andalucía/Huelva;CICLOMOTORES;Gasolina;29093
Andalucía/Huelva;CICLOMOTORES;Sin especificar;4
Andalucía/Huelva;FURGONETAS;TOTAL;21506
Andalucía/Huelva;FURGONETAS;Butano;1
Andalucía/Huelva;FURGONETAS;Diesel;18111
Andalucía/Huelva;FURGONETAS;Eléctrico;13
Andalucía/Huelva;FURGONETAS;Gas Licuado de Petroleo;10
Andalucía/Huelva;FURGONETAS;Gas Natural Comprimido;2
Andalucía/Huelva;FURGONETAS;Gasolina;3368
Andalucía/Huelva;FURGONETAS;Otros;1
Andalucía/Huelva;MOTOCICLETAS;TOTAL;31982
Andalucía/Huelva;MOTOCICLETAS;Diesel;69
Andalucía/Huelva;MOTOCICLETAS;Eléctrico;90
Andalucía/Huelva;MOTOCICLETAS;Gas Licuado de Petroleo;2
Andalucía/Huelva;MOTOCICLETAS;Gasolina;31819
Andalucía/Huelva;MOTOCICLETAS;Sin especificar;2
Andalucía/Huelva;OTROS VEHÍCULOS;TOTAL;5481
Andalucía/Huelva;OTROS VEHÍCULOS;Diesel;3334
Andalucía/Huelva;OTROS VEHÍCULOS;Eléctrico;34
Andalucía/Huelva;OTROS VEHÍCULOS;Gas Licuado de Petroleo;6
Andalucía/Huelva;OTROS VEHÍCULOS;Gasolina;2013
Andalucía/Huelva;OTROS VEHÍCULOS;Otros;2
Andalucía/Huelva;OTROS VEHÍCULOS;Sin especificar;90
Andalucía/Huelva;OTROS VEHÍCULOS;Solar;2
Andalucía/Huelva;REMOLQUES;TOTAL;3600
Andalucía/Huelva;REMOLQUES;Sin especificar;3600
Andalucía/Huelva;SEMIRREMOLQUES;TOTAL;2350
Andalucía/Huelva;SEMIRREMOLQUES;Sin especificar;2350
Andalucía/Huelva;TRACTORES INDUSTRIALES;TOTAL;2870
Andalucía/Huelva;TRACTORES INDUSTRIALES;Diesel;2870
Andalucía/Huelva;TURISMOS;TOTAL;265704
Andalucía/Huelva;TURISMOS;Butano;2
Andalucía/Huelva;TURISMOS;Diesel;168835
Andalucía/Huelva;TURISMOS;Eléctrico;227
Andalucía/Huelva;TURISMOS;Etanol;1
Andalucía/Huelva;TURISMOS;Gas Licuado de Petroleo;314
Andalucía/Huelva;TURISMOS;Gas Natural Comprimido;17
Andalucía/Huelva;TURISMOS;Gasolina;96300
Andalucía/Huelva;TURISMOS;Otros;6
Andalucía/Huelva;TURISMOS;Sin especificar;2
Andalucía/Jaén;AUTOBUSES;TOTAL;587
Andalucía/Jaén;AUTOBUSES;Biometano;1
Andalucía/Jaén;AUTOBUSES;Diesel;585
Andalucía/Jaén;AUTOBUSES;Gasolina;1
Andalucía/Jaén;CAMIONES HASTA 3500kg;TOTAL;37853
Andalucía/Jaén;CAMIONES HASTA 3500kg;Diesel;37183
Andalucía/Jaén;CAMIONES HASTA 3500kg;Eléctrico;30
Andalucía/Jaén;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;23
Andalucía/Jaén;CAMIONES HASTA 3500kg;Gas Natural Comprimido;1
Andalucía/Jaén;CAMIONES HASTA 3500kg;Gasolina;615
Andalucía/Jaén;CAMIONES HASTA 3500kg;Sin especificar;1
Andalucía/Jaén;CAMIONES MÁS DE 3500kg;TOTAL;5258
Andalucía/Jaén;CAMIONES MÁS DE 3500kg;Diesel;5221
Andalucía/Jaén;CAMIONES MÁS DE 3500kg;Eléctrico;1
Andalucía/Jaén;CAMIONES MÁS DE 3500kg;Gas Licuado de Petroleo;1
Andalucía/Jaén;CAMIONES MÁS DE 3500kg;Gas Natural Comprimido;1
Andalucía/Jaén;CAMIONES MÁS DE 3500kg;Gasolina;33
Andalucía/Jaén;CAMIONES MÁS DE 3500kg;Sin especificar;1
Andalucía/Jaén;CICLOMOTORES;TOTAL;40629
Andalucía/Jaén;CICLOMOTORES;Diesel;1703
Andalucía/Jaén;CICLOMOTORES;Eléctrico;132
Andalucía/Jaén;CICLOMOTORES;Gasolina;38791
Andalucía/Jaén;CICLOMOTORES;Sin especificar;3
Andalucía/Jaén;FURGONETAS;TOTAL;63640
Andalucía/Jaén;FURGONETAS;Diesel;57085
Andalucía/Jaén;FURGONETAS;Eléctrico;26
Andalucía/Jaén;FURGONETAS;Gas Licuado de Petroleo;82
Andalucía/Jaén;FURGONETAS;Gas Natural Comprimido;5
Andalucía/Jaén;FURGONETAS;Gasolina;6442
Andalucía/Jaén;MOTOCICLETAS;TOTAL;42701
Andalucía/Jaén;MOTOCICLETAS;Diesel;96
Andalucía/Jaén;MOTOCICLETAS;Eléctrico;293
Andalucía/Jaén;MOTOCICLETAS;Gas Licuado de Petroleo;1
Andalucía/Jaén;MOTOCICLETAS;Gasolina;42307
Andalucía/Jaén;MOTOCICLETAS;Otros;1
Andalucía/Jaén;MOTOCICLETAS;Sin especificar;3
Andalucía/Jaén;OTROS VEHÍCULOS;TOTAL;8559
Andalucía/Jaén;OTROS VEHÍCULOS;Diesel;5022
Andalucía/Jaén;OTROS VEHÍCULOS;Eléctrico;61
Andalucía/Jaén;OTROS VEHÍCULOS;Gas Licuado de Petroleo;3
Andalucía/Jaén;OTROS VEHÍCULOS;Gasolina;3255
Andalucía/Jaén;OTROS VEHÍCULOS;Otros;76
Andalucía/Jaén;OTROS VEHÍCULOS;Sin especificar;142
Andalucía/Jaén;REMOLQUES;TOTAL;4354
Andalucía/Jaén;REMOLQUES;Sin especificar;4354
Andalucía/Jaén;SEMIRREMOLQUES;TOTAL;3539
Andalucía/Jaén;SEMIRREMOLQUES;Sin especificar;3539
Andalucía/Jaén;TRACTORES INDUSTRIALES;TOTAL;3395
Andalucía/Jaén;TRACTORES INDUSTRIALES;Diesel;3395
Andalucía/Jaén;TURISMOS;TOTAL;306658
Andalucía/Jaén;TURISMOS;Biodiesel;2
Andalucía/Jaén;TURISMOS;Biometano;1
Andalucía/Jaén;TURISMOS;Butano;1
Andalucía/Jaén;TURISMOS;Diesel;207904
Andalucía/Jaén;TURISMOS;Eléctrico;238
Andalucía/Jaén;TURISMOS;Etanol;1
Andalucía/Jaén;TURISMOS;Gas Licuado de Petroleo;450
Andalucía/Jaén;TURISMOS;Gas Natural Comprimido;22
Andalucía/Jaén;TURISMOS;Gasolina;98034
Andalucía/Jaén;TURISMOS;Otros;5
Andalucía/Málaga;AUTOBUSES;TOTAL;1851
Andalucía/Málaga;AUTOBUSES;Diesel;1842
Andalucía/Málaga;AUTOBUSES;Eléctrico;1
Andalucía/Málaga;AUTOBUSES;Gas Natural Comprimido;4
Andalucía/Málaga;AUTOBUSES;Gasolina;3
Andalucía/Málaga;AUTOBUSES;Otros;1
Andalucía/Málaga;CAMIONES HASTA 3500kg;TOTAL;72590
Andalucía/Málaga;CAMIONES HASTA 3500kg;Diesel;70653
Andalucía/Málaga;CAMIONES HASTA 3500kg;Eléctrico;43
Andalucía/Málaga;CAMIONES HASTA 3500kg;Gas Licuado de Petroleo;43
